enjoyable,adj. 快乐的；有乐趣的；令人愉快的
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
assembly,n. 装配；集会，集合
headmaster,n. 校长
earn,vt. 赚，赚得；获得，挣得；使得到；博得
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
devote,vt. 致力于；奉献
literature,n. 文学；文献；文艺；著作
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
challenging,"v. 要求；质疑；反对；向…挑战；盘问（challenge的ing形式）
adj. 挑战的；引起挑战性兴趣的"
encouragement,n. 鼓励
cooking,"n. 烹饪
adj. 烹调的
v. 烹调；筹划（cook的ing形式）"
for free, 免费地；免费的；为了免费
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
fond,adj. 喜欢的；温柔的；宠爱的
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
dessert,n. 餐后甜点；甜点心
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
 回忆；追忆；向后看"
look back on,"v. 回顾
 回忆；回顾过去；回首"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
fluent,adj. 流畅的，流利的；液态的；畅流的
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
kindness,n. 仁慈；好意；友好的行为
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
make use of,"na. 使用
 利用；利用某事物；利用好时间"
